Id,SalePrice
1461,114237.07360674949
1462,156370.05363324445
1463,195949.39650112952
1464,188480.8394531455
1465,233525.58768129512
1466,189890.8174192767
1467,169341.4885706807
1468,173256.99279739108
1469,197424.8855705704
1470,121939.159828206
1471,183119.62477177626
1472,88134.84299593943
1473,88453.22608989313
1474,142392.16402493528
1475,85115.4736727532
1476,360483.6092327989
1477,297189.81658216385
1478,305519.1443628671
1479,332272.7819660193
1480,422596.2554663984
1481,350875.68351295043
1482,240033.27641418012
1483,192327.23884941396
1484,141735.4854897853
1485,192540.9699795825
1486,192808.29521245137
1487,340846.64420725236
1488,259214.05008660513
1489,215139.3937941491
1490,257080.26002812825
1491,197596.28577423937
1492,104628.97739170994
1493,209661.94793145577
1494,317051.1653732265
1495,308001.2852977843
1496,223742.14850451835
1497,178336.16847460644
1498,145388.12967920434
1499,151469.17576023654
1500,149214.41200792036
1501,179078.16960278613
1502,134162.8921031023
1503,282592.53504280996
1504,249705.69541662527
1505,244043.3915973223
1506,200009.86374398746
1507,247724.87999538612
1508,220955.35781275117
1509,143504.69654045728
1510,161526.85861129977
1511,156175.15555731425
1512,187266.05929514076
1513,170710.44463735988
1514,165300.3940914669
1515,230006.88981653773
1516,162232.10686221696
1517,166576.57698559156
1518,126991.36345010565
1519,205432.67318951705
1520,125759.5482390003
1521,130842.0156392445
1522,194185.4289660131
1523,108319.8532754013
1524,120725.5540048256
1525,106182.7903405242
1526,118202.94763380438
1527,105080.95697984143
1528,107188.85340965526
1529,143350.84387418587
1530,190141.5927460035
1531,169080.39496198323
1532,107431.39899492578
1533,167754.24914801653
1534,114139.60173240083
1535,149384.85004820238
1536,97437.471080436
1537,93276.01554302128
1538,119697.45500817665
1539,184776.99865620874
1540,140199.04034758112
1541,143466.75226792524
1542,150342.45965824398
1543,184476.97244892843
1544,78657.99778681534
1545,120002.67547347961
1546,149811.43161090353
1547,147967.8668278441
1548,139643.158672714
1549,111701.81707296934
1550,152930.81446471036
1551,124110.27929844265
1552,172933.43183731084
1553,132395.95761426023
1554,100657.19263751371
1555,184313.2808787215
1556,88525.72559636913
1557,92555.3540631428
1558,58808.31360786004
1559,72257.47682314157
1560,165724.86743382522
1561,158341.09457561374
1562,111059.30006609364
1563,112930.8829101118
1564,146631.85783271914
1565,147153.02269310234
1566,219011.12317481983
1567,70072.02229129695
1568,216134.8079459961
1569,168350.98216834638
1570,118267.33225828693
1571,132867.924913504
1572,129241.65335145144
1573,251351.57571393924
1574,145363.84434890415
1575,224910.8954731131
1576,244196.50804591706
1577,184638.3610554619
1578,150895.22023604205
1579,168161.47446916284
1580,203515.4550744186
1581,154718.35876382716
1582,123840.92075025829
1583,288136.6349609034
1584,224181.23792013974
1585,124621.45039205172
1586,35118.61118957203
1587,82071.11318643978
1588,135648.09592057226
1589,103981.5155800706
1590,126800.58704806014
1591,83016.54166440692
1592,115711.67185523882
1593,112868.58367864427
1594,164511.12503465323
1595,134776.89238477108
1596,247425.24037420365
1597,195819.781495699
1598,245754.6367480441
1599,128484.93192734537
1600,137507.58869199533
1601,83485.1666801165
1602,99281.00537423728
1603,56277.98025652249
1604,240818.4756172047
1605,234509.02920569878
1606,174611.79712371918
1607,181644.57568365167
1608,237364.12601177912
1609,209444.54122053256
1610,188251.65054214132
1611,176734.18025193474
1612,191189.37166326804
1613,179140.37056594202
1614,119004.80792657369
1615,63720.489843699004
1616,71962.28335652655
1617,81213.07570079312
1618,92042.60744812117
1619,127863.37300574138
1620,203840.3126711335
1621,131114.36004212906
1622,122722.79893091647
1623,247238.9462620613
1624,217909.62493039065
1625,109392.8092927823
1626,182648.35902851945
1627,190271.5649778169
1628,236027.63850337116
1629,191207.45598655601
1630,376852.414658345
1631,295940.52803345205
1632,294492.5976633413
1633,174497.91298340724
1634,200378.35221616982
1635,184064.72508617362
1636,163167.91843059254
1637,216160.45686627424
1638,196110.82946303053
1639,200671.9803438574
1640,235344.49381895564
1641,194530.56982626647
1642,249596.02861484475
1643,254322.2793086441
1644,233029.77711860678
1645,199591.14556660812
1646,151823.8011581189
1647,148215.1846499638
1648,151899.9156822619
1649,131892.4712707974
1650,110857.3591192856
1651,108146.46979455592
1652,99397.93148564373
1653,98983.879939146
1654,158080.0425420222
1655,141661.1570600271
1656,143363.39705020655
1657,169127.37340691366
1658,151338.4252627668
1659,106735.7556715827
1660,142437.625861028
1661,391589.35820096306
1662,370815.4946968284
1663,348809.9904294445
1664,407850.0861245245
1665,312835.16455315036
1666,348024.935822363
1667,346434.6888982264
1668,326103.7678423053
1669,310486.86762822745
1670,333378.0703324978
1671,326245.43439278204
1672,400598.9264742707
1673,348128.748898916
1674,294015.018748257
1675,239073.34725026588
1676,239997.74412538382
1677,261506.12181884257
1678,409870.26342749706
1679,384891.96440168796
1680,301774.72234392766
1681,246127.79695899563
1682,337624.19979456795
1683,236465.66807379498
1684,181691.27875551645
1685,180766.78465569112
1686,156255.0178386161
1687,177879.07232491646
1688,191366.7224589727
1689,186722.62653031753
1690,186293.1030684729
1691,170536.91732463255
1692,223347.64125192384
1693,174025.87044392055
1694,186144.2579095277
1695,179440.34325536698
1696,283459.56857751636
1697,176619.6907087163
1698,355051.70957977994
1699,331433.6331625771
1700,286944.85136235435
1701,302792.956097656
1702,253754.76828236776
1703,263441.50534625695
1704,271030.79365909274
1705,227181.10783870885
1706,353457.7433840502
1707,231743.36114445367
1708,224873.96130603895
1709,265321.6084320835
1710,242435.83238789957
1711,262821.5672838386
1712,277558.45470667706
1713,285460.626211357
1714,250301.25483297312
1715,225227.5948251648
1716,177202.111190015
1717,176777.80793177534
1718,146108.36483034943
1719,208930.86855307934
1720,213533.23442481554
1721,143005.93550750404
1722,120965.44363276278
1723,152036.1865069388
1724,217916.49107125142
1725,235544.53653621502
1726,185364.19860717878
1727,159346.84729600698
1728,152978.02986594543
1729,154164.7457480403
1730,143463.90352561424
1731,128588.16394270971
1732,99088.77737693764
1733,102130.77261447003
1734,118530.62258099971
1735,81889.61530140346
1736,100525.70872400109
